Betriebsmittelkennzeichen (BMK);Funktion;Artikelbeschreibung;Hersteller;Artikelnummer;Bestellnummer;Lieferant;Menge;Einheit
-F20.1;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F20.2;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F20.3;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F20.4;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F20.5;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F21.1;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F21.2;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F32.3;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F32.4;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F32.5;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F32.6;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F32.7;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F33.1;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F4.3;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F4.3;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F8.1;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F8.2;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F8.3;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F8.4;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F8.5;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F8.7;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk
-F8.8;Leitungsschutzschalter;Leitungsschutzschalter AC B 16A 1p 230V 1TE 50Hz S201-B16 Schaltleistung 6000 A;ABB;4016779578639;610940 - 62;Conrad;1;Stk

-F20.11;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F20.12;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F20.13;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
-F20.14;(A) 25 A 30 mA;ABB 2CSF202101R1250 2csf202101r1250 FI-Schutzschalter A 2polig 25 A 0.03 A 230 V;ABB;4012233026906;621747 - 62;Conrad;1;Stk
