Betriebsmittelkennzeichen (BMK);Artikelnummer;Bestellnummer;Menge;Einheit;Artikelbeschreibung
-W14.37;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.38;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.39;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.41;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.42;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.43;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.43;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.44;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.45;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.46;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.47;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.48;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.49;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.50;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.51;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.52;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W14.53;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²

-W15.1;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.2;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W15.3;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.4;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.5;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.6;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.7;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.8;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W15.9;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.10;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.11;4044774543505;1026843 - 62;;m;Steuerleitung 2 x 1.50 mm²
-W15.12;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.13;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.14;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W15.15;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²

-W19.1;4044776488064;1025834 - 62;;;LAPP 16000063/1 Mantelleitung NYM-J 5 G 2.5 mm² Grau
-W19.2;4044776488064;1025834 - 62;;;LAPP 16000063/1 Mantelleitung NYM-J 5 G 2.5 mm² Grau

-W20.1;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W20.2;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W20.3;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W20.4;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W20.5;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W20.6;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W20.7;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W20.8;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W20.9;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau

-W26.1;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau
-W26.2;4044774725291;1025805 - 62;;m;LAPP 16000003/50 Mantelleitung NYM-J 3 G 1.5 mm² Grau

-W27.1;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
-W27.2;0015002;1026833 - 62;;m;Steuerleitung 2 x 0.50 mm²
