Betriebsmittelkennzeichen (BMK);Funktion;Artikelbeschreibung;Hersteller;Artikelnummer;Bestellnummer;Lieferant;Menge;Einheit
-P9.33;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, warmweiß, dimmbar;ISOLED;111011460;;leuchtmittel-verkauf.de;1;Stk
-P9.34;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, warmweiß, dimmbar;ISOLED;111011460;;leuchtmittel-verkauf.de;1;Stk
-P9.35;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, warmweiß, dimmbar;ISOLED;111011460;;leuchtmittel-verkauf.de;1;Stk
-P9.36;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.37;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.38;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.39;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.40;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.41;Spot;Einbauleuchte Slim68 MiniAMP schwarz, rund, 8W, 24V DC, neutralweiß, nicht dimmbar;ISOLED;111012560;;leuchtmittel-verkauf.de;1;Stk
-P9.42;;;;;;;;

0x7fffef757440
